account_id,txn_date,amount_paise,direction,description,reference,counterparty
ACC-003,2026-07-21,14536528,credit,Payment from Synergy Solutions,,Synergy Solutions
ACC-003,2026-07-21,-10563305,debit,Acme Corp Ltd payment,UTR424902586755,Acme Corp Ltd
ACC-003,2026-07-22,-3269518,debit,Pinnacle Tech payment,UTR320843931964,Pinnacle Tech
ACC-003,2026-07-22,-5289543,debit,Quantum Supplies payment,UTR700445739812,Quantum Supplies
ACC-003,2026-07-22,2458356,credit,Payment from Apex Dynamics,UTR635932182933,Apex Dynamics
ACC-003,2026-07-22,-14489050,debit,Synergy Solutions payment,UTR398020828313,Synergy Solutions
ACC-003,2026-07-22,7867442,credit,Payment from Northwind Traders,,Northwind Traders
ACC-003,2026-07-23,-4347846,debit,Acme Corp Ltd payment,UTR943348752593,Acme Corp Ltd
ACC-003,2026-07-23,-7867033,debit,Vertex Systems payment,UTR685260277007,Vertex Systems
ACC-003,2026-07-23,-4639794,debit,Crest Capital payment,UTR344588949245,Crest Capital
ACC-003,2026-07-23,-6580386,debit,Vertex Systems payment,,Vertex Systems
ACC-003,2026-07-24,3416521,credit,Payment from Northwind Traders,UTR867674315946,Northwind Traders
ACC-003,2026-07-24,-23059407,debit,Synergy Solutions payment,,Synergy Solutions
ACC-003,2026-07-24,13889469,credit,Payment from Vertex Systems,,Vertex Systems
ACC-003,2026-07-25,5939229,credit,Payment from Bluechip Industries,UTR122414613742,Bluechip Industries
ACC-003,2026-07-25,-5132324,debit,Bluechip Industries payment,UTR321681020854,Bluechip Industries
ACC-003,2026-07-25,5743084,credit,Payment from Apex Dynamics,,Apex Dynamics
ACC-003,2026-07-25,719953,credit,Payment from Synergy Solutions,UTR951011918168,Synergy Solutions
ACC-001,2026-06-10,1716665,credit,Payment from Synergy Solutions,UTR956881765075,Synergy Solutions
ACC-002,2026-07-08,-6827014,debit,Quantum Supplies payment,UTR738626494246,Quantum Supplies
ACC-003,2026-07-21,-14489050,debit,Synergy Solutions payment,UTR996490648229,Synergy Solutions
ACC-002,2026-06-19,-1089433,debit,Synergy Solutions payment,UTR525646523196,Synergy Solutions
